City,Region,Country,AirQuality,WaterPollution
New York City, New York,United States of America,46.81603773584906,49.50495049504951
"Washington, D.C.", District of Columbia,United States of America,66.12903225806451,49.10714285714285
San Francisco, California,United States of America,60.51401869158879,43.0
Berlin, ,Germany,62.3641304347826,28.61271676300578
Los Angeles, California,United States of America,36.62162162162163,61.29943502824858
Bern, Canton of Bern,Switzerland,94.3181818181818,12.5
Geneva, Canton of Geneva,Switzerland,71.53846153846153,17.3728813559322
Zurich, Canton of Zurich,Switzerland,83.80952380952381,10.714285714285715
Basel, ,Switzerland,81.66666666666667,26.923076923076923
London, England,United Kingdom,37.04225352112676,40.716374269005854
Cairo, Cairo Governorate,Egypt,15.830721003134796,74.35064935064935
Alexandria, Alexandria Governorate,Egypt,41.0377358490566,71.2962962962963
Alexandria, Virginia,United States of America,89.0625,46.15384615384615
Paris, Ile-de-France,France,34.02439024390244,43.12169312169312
Boston, Massachusetts,United States of America,78.23529411764706,32.91139240506329
Toronto, Ontario,Canada,65.53468208092485,37.79940119760479
Sao Paulo, Sao Paulo,Brazil,24.056603773584907,73.71794871794873
Vilnius, ,Lithuania,77.24719101123596,20.588235294117645
Monaco, ,Monaco,28.787878787878785,61.36363636363637
Brussels, ,Belgium,35.810810810810814,44.761904761904766
Poznan, Greater Poland Voivodeship,Poland,33.07692307692307,50.42372881355932
Tashkent, ,Uzbekistan,56.4516129032258,49.16666666666666
Warsaw, Masovian Voivodeship,Poland,27.27272727272727,36.01485148514851
Modena, Emilia-Romagna,Italy,39.0625,50.0
Tours, ,France,84.375,6.25
Singapore, ,Singapore,65.87837837837837,24.204946996466436
Montreal, Quebec,Canada,70.76023391812866,36.96319018404908
Cambridge, England,United Kingdom,69.82758620689656,30.55555555555556
Cologne, North Rhine-Westphalia,Germany,60.71428571428571,27.77777777777778
Skopje, Greater Skopje,North Macedonia,10.194174757281557,45.26315789473684
Gdynia, Pomeranian Voivodeship,Poland,49.41860465116279,48.61111111111111
Szczecin, West Pomeranian Voivodeship,Poland,41.37931034482759,53.75
Ljubljana, Ljubljana City Municipality,Slovenia,72.16494845360825,17.58241758241758
Plovdiv, Plovdiv region,Bulgaria,31.41025641025641,36.29032258064516
Sofia, Sofia City Province,Bulgaria,23.621323529411764,40.943396226415096
Milan, Lombardy,Italy,24.397590361445783,39.490445859872615
Trieste, Friuli-Venezia Giulia,Italy,58.87096774193549,29.000000000000004
Lodz, Lodz Voivodeship,Poland,28.846153846153843,40.44117647058824
Villeurbanne, ,France,75.0,50.0
Oslo, ,Norway,74.75728155339806,14.175257731958762
Bonn, North Rhine-Westphalia,Germany,82.8125,22.5
Katowice, Silesian Voivodeship,Poland,27.77777777777778,48.333333333333336
Lisbon, Lisbon,Portugal,64.60674157303372,24.856321839080454
Rzeszow, Podkarpackie Voivodeship,Poland,37.5,47.05882352941176
Dubai, Emirate of Dubai,United Arab Emirates,48.87387387387388,39.84615384615385
Padua, Veneto,Italy,29.166666666666664,50.0
Bergamo, Lombardy,Italy,46.66666666666666,35.0
Venice, Veneto,Italy,36.25,67.85714285714286
Rennes, ,France,62.5,35.0
Lille, ,France,48.91304347826087,35.526315789473685
Moscow, ,Russia,41.47526501766784,49.72527472527473
Saint Petersburg, ,Russia,43.103448275862064,54.88165680473372
Heilbronn, Baden-Wurttemberg,Germany,80.0,0.0
Saginaw, Michigan,United States of America,85.0,70.0
Bialystok, Podlaskie Voivodeship,Poland,34.523809523809526,52.94117647058824
Nowy Sacz, Lesser Poland Voivodeship,Poland,30.0,100.0
Lausanne, Canton of Vaud,Switzerland,78.26086956521738,17.5
Abakan, Republic of Khakassia,Russia,0.0,75.0
Novosibirsk, Novosibirsk Oblast,Russia,36.48648648648648,54.054054054054056
Yekaterinburg, Sverdlovsk Oblast,Russia,27.906976744186046,58.333333333333336
Samara, Samara Oblast,Russia,48.4375,51.5625
Omsk, Omsk Oblast,Russia,16.176470588235293,48.52941176470589
Kazan, Republic of Tatarstan,Russia,41.25,58.333333333333336
Chelyabinsk, Chelyabinsk Oblast,Russia,16.666666666666668,70.3125
Ufa, Bashkortostan,Russia,20.83333333333333,68.18181818181819
Volgograd, Volgograd Oblast,Russia,21.666666666666668,59.375
Perm, Perm Krai,Russia,44.44444444444444,50.0
Krasnoyarsk, Krasnoyarsk Krai,Russia,6.617647058823528,49.21875
Beijing, ,People's Republic of China,21.36627906976744,70.78313253012048
Vladivostok, Primorsky Krai,Russia,35.0,67.5
San Antonio, Texas,United States of America,63.41463414634146,50.67567567567568
Tomsk, Tomsk Oblast,Russia,46.42857142857143,51.78571428571429
Tbilisi, ,Georgia,22.983870967741936,49.34782608695652
Maribor, Maribor City Municipality,Slovenia,76.25,18.75
Celje, City Municipality of Celje,Slovenia,50.0,8.333333333333332
Koper, City Municipality of Koper,Slovenia,87.5,0.0
Aachen, North Rhine-Westphalia,Germany,70.45454545454545,17.857142857142854
Nova Gorica, City Municipality of Nova Gorica,Slovenia,75.0,12.5
Kranj, City Municipality of Kranj,Slovenia,80.55555555555556,12.5
Stuttgart, Baden-Wurttemberg,Germany,43.125,24.28571428571429
Biel/Bienne, Canton of Bern,Switzerland,37.5,31.25
Karlsruhe, Baden-Wurttemberg,Germany,87.5,5.555555555555558
Hamburg, ,Germany,70.76271186440678,24.50980392156863
Ahmedabad, Gujarat,India,32.96296296296296,66.9921875
Salerno, Campania,Italy,60.0,58.333333333333336
Prague, ,Czech Republic,63.21243523316063,25.70621468926554
Jamnagar, Gujarat,India,34.48275862068966,58.333333333333336
Busto Arsizio, Lombardy,Italy,0.0,75.0
Mumbai, Maharashtra,India,25.16025641025641,75.32537960954446
Jerusalem, Jerusalem District,Israel,37.096774193548384,42.391304347826086
Grenoble, ,France,34.09090909090909,26.47058823529412
Dortmund, North Rhine-Westphalia,Germany,75.0,15.625
Ghent, Flemish Region,Belgium,55.46875,27.67857142857143
Chicago, Illinois,United States of America,57.43243243243244,53.62068965517241
Como, Lombardy,Italy,58.333333333333336,40.0
Montevideo, Montevideo Department,Uruguay,65.78947368421053,46.75324675324675
Tolyatti, Samara Oblast,Russia,36.11111111111111,43.75
Pittsburgh, Pennsylvania,United States of America,58.92857142857143,59.61538461538461
Philadelphia, Pennsylvania,United States of America,54.285714285714285,55.64516129032258
Kolkata, West Bengal,India,25.93457943925233,68.26923076923077
Chennai, Tamil Nadu,India,35.8843537414966,73.07017543859648
Delhi, ,India,11.844135802469136,77.41679873217116
Dhaka, Dhaka Division,Bangladesh,14.96815286624204,78.25342465753424
Hyderabad, Telangana,India,31.492537313432837,70.10703363914374
Islamabad, Islamabad Capital Territory,Pakistan,67.41803278688525,51.32743362831859
Zagreb, ,Croatia,69.77401129943503,26.598837209302328
Genoa, Liguria,Italy,51.72413793103448,30.0
Manila, Metro Manila,Philippines,17.015706806282722,83.7431693989071
Quezon City, Metro Manila,Philippines,23.809523809523807,80.12820512820514
Le Mans, ,France,95.0,50.0
Caloocan, Metro Manila,Philippines,25.0,83.33333333333333
Bordeaux, ,France,68.4782608695652,42.64705882352941
Buenos Aires, ,Argentina,54.264705882352935,54.84375
Mexico City, ,Mexico,18.07909604519774,69.5906432748538
Tokyo, ,Japan,61.87150837988826,37.94117647058823
La Paz, La Paz Department,Bolivia,27.94117647058824,79.54545454545455
Barcelona, Catalonia,Spain,35.49723756906077,51.31578947368421
Makati, Metro Manila,Philippines,34.21052631578947,70.94594594594594
Nagpur, Maharashtra,India,46.61016949152542,69.44444444444444
Abidjan, ,Cote d'Ivoire,6.944444444444442,79.41176470588236
Abu Dhabi, Emirate of Abu Dhabi,United Arab Emirates,55.98290598290598,37.99019607843137
Athens, Attica Region,Greece,44.1741214057508,30.3156146179402
Caracas, Capital District,Venezuela,43.359375,69.06779661016948
Pune, Maharashtra,India,39.107883817427386,71.86147186147186
Guatemala City, Guatemala Department,Guatemala,39.285714285714285,69.53125
Havana, Havana Province,Cuba,46.66666666666666,50.0
Valenzuela, Metro Manila,Philippines,48.68421052631579,88.1578947368421
Pasig, Metro Manila,Philippines,27.94117647058824,82.6923076923077
Antipolo, ,Philippines,60.29411764705882,75.0
Osijek, Osijek-Baranja County,Croatia,83.75,13.333333333333336
Cagayan de Oro, ,Philippines,62.5,100.0
Rijeka, Primorje-Gorski Kotar County,Croatia,75.0,17.857142857142854
Split, Split-Dalmatia County,Croatia,71.71052631578947,30.0
Butuan, ,Philippines,37.5,66.66666666666666
Kiel, Schleswig-Holstein,Germany,93.75,25.0
Schwerin, Mecklenburg-Western Pomerania,Germany,87.5,50.0
Potsdam, Brandenburg,Germany,88.63636363636364,10.714285714285715
Hanover, Lower Saxony,Germany,75.0,22.916666666666668
Düsseldorf, North Rhine-Westphalia,Germany,64.81481481481481,23.91304347826087
Mainz, Rhineland-Palatinate,Germany,86.11111111111111,35.0
Wiesbaden, Hesse,Germany,73.21428571428572,42.5
Dubrovnik, Dubrovnik-Neretva County,Croatia,87.5,40.0
Saarbrücken, Saarland,Germany,87.5,12.5
Lipa, ,Philippines,87.5,25.0
Munich, Bavaria,Germany,74.4186046511628,15.466101694915253
Dresden, Saxony,Germany,75.0,7.8947368421052655
Magdeburg, Saxony-Anhalt,Germany,93.75,6.25
Innsbruck, Tyrol,Austria,75.0,7.8125
Bregenz, Vorarlberg,Austria,95.0,50.0
Vienna, ,Austria,82.7054794520548,10.144927536231885
Stockholm, Stockholm County,Sweden,83.20610687022901,15.0390625
Helsinki, Uusimaa,Finland,89.88095238095238,15.49586776859504
Dublin, ,Ireland,67.02380952380953,39.70588235294118
Murmansk, Murmansk Oblast,Russia,57.14285714285714,14.285714285714285
Reykjavik, ,Iceland,86.68478260869566,5.113636363636365
Tallinn, Harju County,Estonia,81.88775510204081,18.617021276595747
Riga, ,Latvia,62.5,31.956521739130437
Bratislava, Bratislava Region,Slovakia,62.32394366197183,32.46268656716418
Budapest, ,Hungary,40.61032863849765,32.375
Gdansk, Pomeranian Voivodeship,Poland,45.55555555555556,45.0
Frankfurt, Hesse,Germany,63.39285714285714,25.98039215686274
Wroclaw, Lower Silesian Voivodeship,Poland,25.68807339449541,35.43689320388349
Kochi, Kerala,India,36.5625,68.40277777777779
Baguio, Cordillera Administrative Region,Philippines,26.88679245283019,66.48936170212765
Kaliningrad, Kaliningrad Oblast,Russia,55.00000000000001,55.00000000000001
Luxembourg, ,Luxembourg,83.10810810810811,20.454545454545453
Vaduz, ,Liechtenstein,100.0,0.0
San Marino, ,San Marino,87.5,50.0
Phnom Penh, ,Cambodia,26.06382978723404,70.83333333333334
Arkhangelsk, Arkhangelsk Oblast,Russia,43.75,50.0
Ho Chi Minh City, ,Vietnam,12.219101123595506,77.76162790697674
Hanoi, ,Vietnam,15.702479338842974,77.35042735042735
Bangkok, ,Thailand,26.851851851851848,70.83333333333334
Andorra la Vella, Andorra la Vella,Andorra,37.5,25.0
Kuala Lumpur, ,Malaysia,39.43452380952381,65.6832298136646
Taipei, ,Taiwan,52.47933884297521,44.87179487179488
Odessa, Odessa Oblast,Ukraine,50.5,58.85416666666666
Concepcion, Biobio Region,Chile,55.76923076923077,33.333333333333336
Bologna, Emilia-Romagna,Italy,38.15789473684211,28.030303030303028
Petrozavodsk, Karelia,Russia,58.333333333333336,25.0
Cagliari, Sardinia,Italy,71.05263157894737,20.0
Catania, Sicily,Italy,46.42857142857143,55.55555555555556
Caserta, Campania,Italy,34.375,56.25
Ottawa, Ontario,Canada,84.56375838926175,27.99295774647888
Juba, ,South Sudan,62.5,75.0
Yerevan, ,Armenia,41.810344827586206,35.0
Vologda, Vologda Oblast,Russia,62.5,25.0
Dar es Salaam, Dar es Salaam Region,Tanzania,46.875,76.0
Khartoum, Khartoum,Sudan,42.85714285714286,78.125
Verona, Veneto,Italy,36.11111111111111,42.85714285714286
Iqaluit, Nunavut,Canada,50.0,50.0
Florence, Tuscany,Italy,52.67857142857143,36.0
Whitehorse, Yukon,Canada,92.5,12.5
Yellowknife, Northwest Territories,Canada,87.5,43.75
Essen, North Rhine-Westphalia,Germany,80.0,4.166666666666669
Leipzig, Saxony,Germany,84.21052631578947,20.0
St. John's, Newfoundland and Labrador,Canada,90.625,35.416666666666664
Nuremberg, Bavaria,Germany,75.0,12.5
Edmonton, ,Canada,72.03703703703704,27.46212121212121
Duisburg, North Rhine-Westphalia,Germany,53.57142857142857,31.25
Bochum, North Rhine-Westphalia,Germany,68.18181818181819,25.0
Wuppertal, North Rhine-Westphalia,Germany,90.0,0.0
Bielefeld, North Rhine-Westphalia,Germany,67.85714285714286,50.0
Mannheim, Baden-Wurttemberg,Germany,51.08695652173913,30.55555555555556
Regina, Saskatchewan,Canada,68.57142857142857,42.74193548387097
Charlottetown, Prince Edward Island,Canada,97.5,20.0
Victoria, British Columbia,Canada,92.72151898734178,27.7027027027027
Winnipeg, Manitoba,Canada,71.31147540983606,42.64705882352941
Fredericton, New Brunswick,Canada,90.0,31.25
Halifax, Nova Scotia,Canada,84.57446808510637,36.25
Cherepovets, Vologda Oblast,Russia,0.0,100.0
Quebec City, Quebec,Canada,82.5,43.75
Arica, Arica y Parinacota Region,Chile,75.0,50.0
Pskov, Pskov Oblast,Russia,100.0,50.0
Veliky Novgorod, Novgorod Oblast,Russia,100.0,50.0
Birmingham, England,United Kingdom,52.97619047619048,25.64102564102564
Minsk, ,Belarus,60.922330097087375,41.40625
Tver, Tver Oblast,Russia,62.5,37.5
Smolensk, Smolensk Oblast,Russia,50.0,54.16666666666666
Yaroslavl, Yaroslavl Oblast,Russia,16.666666666666668,58.333333333333336
Mogadishu, Banaadir,Somalia,60.0,57.49999999999999
Nassau, ,The Bahamas,50.0,59.25925925925925
Sanaa, ,Yemen,41.66666666666667,91.66666666666669
Ivanovo, Ivanovo Oblast,Russia,33.333333333333336,87.5
Naples, Campania,Italy,28.846153846153843,55.319148936170215
Palermo, Sicily,Italy,45.45454545454545,51.31578947368421
Gomel, Gomel Region,Belarus,44.73684210526316,53.57142857142857
Parma, Emilia-Romagna,Italy,34.375,56.81818181818181
Vladimir, Vladimir Oblast,Russia,37.5,50.0
Pescara, Abruzzo,Italy,61.11111111111112,79.16666666666667
Bremerhaven, ,Germany,75.0,50.0
Münster, North Rhine-Westphalia,Germany,71.875,25.0
Ryazan, Ryazan Oblast,Russia,0.0,91.66666666666669
Augsburg, Bavaria,Germany,73.52941176470588,26.923076923076923
Siena, Tuscany,Italy,81.25,21.42857142857143
Gelsenkirchen, North Rhine-Westphalia,Germany,62.5,50.0
Tula, Tula Oblast,Russia,33.333333333333336,75.0
Udine, Friuli-Venezia Giulia,Italy,72.5,33.333333333333336
Chemnitz, Saxony,Germany,87.5,50.0
Krefeld, North Rhine-Westphalia,Germany,87.5,50.0
Madrid, Community of Madrid,Spain,36.234177215189874,18.954248366013072
Halle (Saale), Saxony-Anhalt,Germany,75.0,0.0
Freiburg im Breisgau, Baden-Wurttemberg,Germany,88.33333333333333,4.999999999999999
Oberhausen, North Rhine-Westphalia,Germany,62.5,50.0
Bogota, ,Colombia,23.3502538071066,48.1578947368421
Lübeck, Schleswig-Holstein,Germany,100.0,25.0
Brasilia, Federal District,Brazil,76.53061224489797,38.04347826086957
Rostock, Mecklenburg-Western Pomerania,Germany,90.625,37.5
Kassel, Hesse,Germany,75.0,50.0
Lima, Lima region,Peru,19.75,76.04166666666667
Hagen, North Rhine-Westphalia,Germany,100.0,50.0
Hamm, North Rhine-Westphalia,Germany,87.5,50.0
Santiago, Santiago Metropolitan Region,Chile,17.71523178807947,40.23972602739726
Quito, Pichincha Province,Ecuador,35.86956521739131,53.07692307692308
Ludwigshafen, Rhineland-Palatinate,Germany,75.0,0.0
Osnabrück, Lower Saxony,Germany,82.14285714285714,0.0
Asuncion, Capital District,Paraguay,39.6551724137931,67.0
Oldenburg, Lower Saxony,Germany,75.0,18.75
Leverkusen, North Rhine-Westphalia,Germany,83.33333333333333,50.0
Solingen, North Rhine-Westphalia,Germany,87.5,50.0
Neuss, North Rhine-Westphalia,Germany,50.0,75.0
Heidelberg, Baden-Wurttemberg,Germany,89.28571428571428,25.0
Paderborn, North Rhine-Westphalia,Germany,75.0,25.0
Darmstadt, Hesse,Germany,71.875,27.500000000000004
Regensburg, Bavaria,Germany,87.5,7.142857142857145
Paramaribo, Paramaribo District,Suriname,61.36363636363637,54.54545454545454
Ingolstadt, Bavaria,Germany,100.0,0.0
Ulm, Baden-Wurttemberg,Germany,88.88888888888889,9.999999999999998
Wolfsburg, Lower Saxony,Germany,96.875,0.0
Kathmandu, Bagmati,Nepal,11.46341463414634,80.45685279187818
Offenbach am Main, Hesse,Germany,75.0,50.0
Belmopan, Cayo District,Belize,62.5,54.16666666666666
Pforzheim, Baden-Wurttemberg,Germany,85.0,25.0
Recklinghausen, North Rhine-Westphalia,Germany,100.0,50.0
Bottrop, North Rhine-Westphalia,Germany,80.0,0.0
San Jose, San Jose Province,Costa Rica,57.43243243243244,46.09375
Reutlingen, Baden-Wurttemberg,Germany,85.0,25.0
Koblenz, Rhineland-Palatinate,Germany,67.85714285714286,41.66666666666667
San Salvador, San Salvador Department,El Salvador,18.42105263157895,76.5625
Canberra, Australian Capital Territory,Australia,90.74675324675326,17.80821917808219
Erlangen, Bavaria,Germany,81.25,29.166666666666664
Sydney, ,Australia,75.88996763754045,28.54785478547855
Moers, North Rhine-Westphalia,Germany,62.5,50.0
Trier, Rhineland-Palatinate,Germany,85.71428571428572,25.0
Melbourne, Victoria,Australia,79.07303370786516,28.223495702005728
Jena, Thuringia,Germany,95.0,75.0
Kursk, Kursk Oblast,Russia,100.0,50.0
Siegen, North Rhine-Westphalia,Germany,91.66666666666669,12.5
Perth, Western Australia,Australia,82.9875518672199,28.072033898305083
Hildesheim, Lower Saxony,Germany,62.5,50.0
Salzgitter, Lower Saxony,Germany,95.0,0.0
Cottbus, Brandenburg,Germany,100.0,50.0
Tegucigalpa, Francisco Morazan Department,Honduras,22.619047619047617,88.46153846153845
Managua, Managua Department,Nicaragua,58.333333333333336,76.66666666666666
Panama City, Panama Province,Panama,49.23076923076923,67.06349206349206
Belgorod, Belgorod Oblast,Russia,75.0,70.83333333333334
Zadar, Zadar County,Croatia,100.0,8.333333333333332
Trento, Trentino-South Tyrol,Italy,86.76470588235294,0.0
Ancona, Marche,Italy,63.888888888888886,30.0
Voronezh, Voronezh Oblast,Russia,36.8421052631579,67.10526315789474
Perugia, Umbria,Italy,70.0,50.0
L'Aquila, Abruzzo,Italy,87.5,50.0
Lipetsk, Lipetsk Oblast,Russia,37.5,37.5
Bari, Apulia,Italy,63.33333333333333,22.22222222222222
Tambov, Tambov Oblast,Russia,62.5,45.0
Sibenik, Sibenik-Knin County,Croatia,100.0,0.0
Rabat, Rabat-Sale-Kenitra,Morocco,68.33333333333333,31.73076923076923
Algiers, Algiers Province,Algeria,39.74358974358975,60.29411764705882
Tunis, Tunis Governorate,Tunisia,36.25,61.11111111111112
Tripoli, ,Libya,54.629629629629626,68.5185185185185
Novy Jicin, ,Czech Republic,62.5,50.0
Djibouti, Djibouti Region,Djibouti,54.16666666666666,54.16666666666666
Antofagasta, Antofagasta Region,Chile,31.25,81.25
Tehran, Tehran Province,Iran,10.700757575757574,48.12992125984252
Karlovac, ,Croatia,75.0,25.0
Addis Ababa, ,Ethiopia,32.27272727272727,69.54545454545455
Jakarta, ,Indonesia,22.265625,77.10000000000001
Ankara, Ankara Province,Turkey,38.90845070422535,57.95454545454546
Krasnodar, Krasnodar Krai,Russia,44.44444444444444,44.44444444444444
N'Djamena, ,Chad,41.66666666666667,41.66666666666667
Niamey, ,Niger,25.0,100.0
Calama, Antofagasta Region,Chile,20.0,75.0
Nouakchott, ,Mauritania,43.75,37.5
Riyadh, Riyadh Province,Saudi Arabia,33.69565217391305,44.57364341085272
Bamako, ,Mali,15.000000000000002,62.5
Belgrade, Belgrade District,Serbia,34.825327510917035,50.90497737556561
Dakar, Dakar,Senegal,10.344827586206897,82.0
Banjul, ,The Gambia,75.0,62.5
Conakry, ,Guinea,4.999999999999999,93.75
Monrovia, Montserrado County,Liberia,16.666666666666668,87.5
Gera, Thuringia,Germany,100.0,50.0
Kaiserslautern, Rhineland-Palatinate,Germany,87.5,4.999999999999999
